review_id,product_id,date,rating,sentiment,platform,comment
R100103,PC007,2021-12-09,1.8,Negative,Tokopedia,"Mudah dibeli saat promo, value for money."
R100104,PC012,2021-05-28,2.4,Negative,Shopee,Kemasan baru lebih ramah lingkungan.
R100105,PC010,2024-10-02,3.0,Neutral,Instagram,Kemasan baru lebih ramah lingkungan.
R100106,PC015,2024-06-09,3.2,Neutral,Official Store,"Harumnya tahan lama, suka banget!"
R100107,PC012,2020-10-07,2.1,Negative,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100108,PC010,2023-08-29,2.0,Negative,Instagram,Wangi terlalu kuat untuk saya.
R100109,PC006,2023-08-25,1.9,Negative,Tokopedia,Wangi terlalu kuat untuk saya.
R100110,PC006,2022-03-14,3.0,Neutral,Tokopedia,"Harga sesuai, kualitas oke."
R100111,PC014,2021-09-19,1.7,Negative,Instagram,"Harumnya tahan lama, suka banget!"
R100112,PC007,2020-04-23,1.1,Negative,Shopee,Kemasan baru lebih ramah lingkungan.
R100113,PC008,2020-09-03,2.6,Negative,Official Store,"Harga sesuai, kualitas oke."
R100114,PC004,2020-01-12,4.9,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100115,PC006,2024-01-11,4.7,Positive,Instagram,"Harga sesuai, kualitas oke."
R100116,PC008,2022-11-14,4.4,Positive,Shopee,"Mudah dibeli saat promo, value for money."
R100117,PC010,2021-12-13,2.7,Negative,Shopee,Kemasan baru lebih ramah lingkungan.
R100118,PC001,2023-03-11,3.8,Neutral,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100119,PC006,2023-07-02,1.6,Negative,Official Store,Wangi terlalu kuat untuk saya.
R100120,PC011,2023-07-30,2.5,Negative,Official Store,"Kurang cocok di kulit saya, agak kering."
R100121,PC005,2020-05-19,5.0,Positive,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100122,PC002,2020-07-12,1.6,Negative,Shopee,"Harumnya tahan lama, suka banget!"
R100123,PC009,2023-08-03,2.9,Negative,Instagram,"Harga sesuai, kualitas oke."
R100124,PC014,2020-08-22,4.4,Positive,Official Store,Kemasan baru lebih ramah lingkungan.
R100125,PC002,2020-09-30,3.9,Neutral,Shopee,"Kurang cocok di kulit saya, agak kering."
R100126,PC012,2022-04-14,4.7,Positive,Official Store,"Mudah dibeli saat promo, value for money."
R100127,PC012,2025-01-26,1.6,Negative,Shopee,Wangi terlalu kuat untuk saya.
R100128,PC014,2024-10-24,4.3,Positive,Shopee,Wangi terlalu kuat untuk saya.
R100129,PC003,2024-01-03,3.1,Neutral,Official Store,"Harumnya tahan lama, suka banget!"
R100130,PC013,2023-07-18,3.7,Neutral,Official Store,"Packaging bocor saat diterima, kurang aman."
R100131,PC008,2022-04-09,2.9,Negative,Tokopedia,"Harumnya tahan lama, suka banget!"
R100132,PC007,2022-08-23,3.3,Neutral,Shopee,"Harumnya tahan lama, suka banget!"
R100133,PC015,2022-04-24,3.2,Neutral,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100134,PC003,2023-04-09,2.7,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100135,PC003,2022-01-06,1.6,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100136,PC013,2022-12-25,4.0,Positive,Instagram,Kemasan baru lebih ramah lingkungan.
R100137,PC013,2020-11-29,2.2,Negative,Shopee,"Harga sesuai, kualitas oke."
R100138,PC007,2020-11-10,1.8,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering."
R100139,PC005,2025-04-12,2.4,Negative,Tokopedia,Wangi terlalu kuat untuk saya.
R100140,PC015,2022-04-13,2.8,Negative,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100141,PC015,2024-10-20,1.6,Negative,Instagram,Kemasan baru lebih ramah lingkungan.
R100142,PC012,2024-08-25,1.0,Negative,Instagram,"Harga sesuai, kualitas oke."
R100143,PC004,2023-04-08,2.0,Negative,Shopee,Kemasan baru lebih ramah lingkungan.
R100144,PC011,2025-10-10,2.4,Negative,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100145,PC007,2022-10-13,4.8,Positive,Official Store,"Kurang cocok di kulit saya, agak kering."
R100146,PC013,2020-11-02,1.4,Negative,Shopee,"Packaging bocor saat diterima, kurang aman."
R100147,PC008,2025-04-02,4.7,Positive,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100148,PC004,2024-10-04,1.1,Negative,Instagram,"Kurang cocok di kulit saya, agak kering."
R100149,PC001,2023-06-21,3.4,Neutral,Tokopedia,"Harga sesuai, kualitas oke."
R100150,PC013,2020-08-17,4.4,Positive,Instagram,"Packaging bocor saat diterima, kurang aman."
R100151,PC001,2020-09-06,4.9,Positive,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100152,PC006,2025-01-16,2.3,Negative,Tokopedia,"Packaging bocor saat diterima, kurang aman."
R100153,PC003,2023-07-24,2.6,Negative,Shopee,Wangi terlalu kuat untuk saya.
R100154,PC009,2021-03-28,4.2,Positive,Tokopedia,"Harumnya tahan lama, suka banget!"
R100155,PC003,2022-05-25,3.1,Neutral,Instagram,"Mudah dibeli saat promo, value for money."
R100156,PC002,2022-10-21,2.9,Negative,Instagram,"Harumnya tahan lama, suka banget!"
R100157,PC011,2020-03-13,4.7,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100158,PC009,2023-01-01,2.7,Negative,Official Store,"Harumnya tahan lama, suka banget!"
R100159,PC001,2024-09-13,2.1,Negative,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100160,PC002,2023-12-30,1.7,Negative,Official Store,"Harumnya tahan lama, suka banget!"
R100161,PC001,2023-05-11,4.4,Positive,Instagram,Wangi terlalu kuat untuk saya.
R100162,PC008,2023-01-09,3.4,Neutral,Shopee,"Mudah dibeli saat promo, value for money."
R100163,PC007,2022-07-27,4.2,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100164,PC014,2021-02-23,1.1,Negative,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100165,PC008,2023-07-16,2.2,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100166,PC002,2023-02-27,2.8,Negative,Tokopedia,"Mudah dibeli saat promo, value for money."
R100167,PC006,2024-08-10,1.4,Negative,Official Store,Wangi terlalu kuat untuk saya.
R100168,PC007,2025-09-12,2.5,Negative,Tokopedia,"Harga sesuai, kualitas oke."
R100169,PC014,2023-03-04,4.2,Positive,Instagram,Kemasan baru lebih ramah lingkungan.
R100170,PC002,2025-03-22,2.6,Negative,Shopee,"Packaging bocor saat diterima, kurang aman."
R100171,PC003,2021-05-23,3.7,Neutral,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100172,PC006,2022-01-16,3.3,Neutral,Instagram,"Harumnya tahan lama, suka banget!"
R100173,PC012,2021-06-08,1.4,Negative,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100174,PC014,2023-08-20,4.2,Positive,Official Store,Kemasan baru lebih ramah lingkungan.
R100175,PC004,2024-01-09,1.8,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100176,PC002,2020-01-29,1.3,Negative,Instagram,Wangi terlalu kuat untuk saya.
R100177,PC003,2020-09-27,4.5,Positive,Shopee,Kemasan baru lebih ramah lingkungan.
R100178,PC002,2025-05-17,4.3,Positive,Official Store,"Harga sesuai, kualitas oke."
R100179,PC010,2024-12-20,2.5,Negative,Instagram,Kemasan baru lebih ramah lingkungan.
R100180,PC004,2023-10-05,2.6,Negative,Tokopedia,"Harumnya tahan lama, suka banget!"
R100181,PC002,2025-03-09,1.9,Negative,Tokopedia,"Mudah dibeli saat promo, value for money."
R100182,PC012,2020-11-04,4.5,Positive,Official Store,"Harga sesuai, kualitas oke."
R100183,PC014,2022-11-02,1.7,Negative,Tokopedia,"Harga sesuai, kualitas oke."
R100184,PC001,2021-08-14,3.2,Neutral,Shopee,"Harumnya tahan lama, suka banget!"
R100185,PC007,2021-04-24,3.6,Neutral,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100186,PC010,2023-03-02,1.7,Negative,Instagram,Wangi terlalu kuat untuk saya.
R100187,PC011,2024-12-14,3.1,Neutral,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100188,PC009,2021-08-25,3.2,Neutral,Shopee,"Mudah dibeli saat promo, value for money."
R100189,PC010,2024-05-03,1.4,Negative,Tokopedia,Wangi terlalu kuat untuk saya.
R100190,PC011,2025-06-03,4.5,Positive,Official Store,"Kurang cocok di kulit saya, agak kering."
R100191,PC012,2023-10-24,3.0,Neutral,Tokopedia,Wangi terlalu kuat untuk saya.
R100192,PC001,2022-07-10,2.5,Negative,Tokopedia,"Mudah dibeli saat promo, value for money."
R100193,PC002,2020-12-31,4.0,Positive,Instagram,Wangi terlalu kuat untuk saya.
R100194,PC004,2024-08-23,1.3,Negative,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100195,PC011,2022-02-21,3.9,Neutral,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100196,PC003,2025-09-19,2.6,Negative,Official Store,"Mudah dibeli saat promo, value for money."
R100197,PC006,2024-05-30,1.9,Negative,Official Store,"Packaging bocor saat diterima, kurang aman."
R100198,PC004,2020-12-22,4.4,Positive,Shopee,"Mudah dibeli saat promo, value for money."
R100199,PC011,2023-08-06,2.3,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering."
R100200,PC005,2022-01-27,2.4,Negative,Shopee,"Harumnya tahan lama, suka banget!"
R100201,PC013,2024-02-23,2.7,Negative,Instagram,"Harga sesuai, kualitas oke."
R100202,PC003,2020-06-20,1.0,Negative,Instagram,"Mudah dibeli saat promo, value for money."
R100203,PC006,2023-07-22,2.4,Negative,Official Store,"Harga sesuai, kualitas oke."
R100204,PC011,2025-10-17,4.2,Positive,Shopee,"Packaging bocor saat diterima, kurang aman."
R100205,PC001,2021-02-11,3.2,Neutral,Official Store,"Harga sesuai, kualitas oke."
R100206,PC008,2023-11-06,4.0,Positive,Shopee,"Mudah dibeli saat promo, value for money."
R100207,PC006,2025-11-27,4.6,Positive,Official Store,"Packaging bocor saat diterima, kurang aman."
R100208,PC011,2025-12-12,4.8,Positive,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100209,PC010,2023-07-18,5.0,Positive,Tokopedia,Wangi terlalu kuat untuk saya.
R100210,PC006,2025-07-07,1.1,Negative,Shopee,"Packaging bocor saat diterima, kurang aman."
R100211,PC009,2021-02-27,1.5,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100212,PC013,2022-11-09,4.4,Positive,Instagram,"Harga sesuai, kualitas oke."
R100213,PC002,2023-02-23,3.6,Neutral,Tokopedia,"Packaging bocor saat diterima, kurang aman."
R100214,PC008,2021-05-21,1.5,Negative,Tokopedia,"Harga sesuai, kualitas oke."
R100215,PC005,2023-03-12,2.8,Negative,Instagram,Kemasan baru lebih ramah lingkungan.
R100216,PC007,2021-11-24,3.2,Neutral,Shopee,"Mudah dibeli saat promo, value for money."
R100217,PC009,2024-06-11,3.1,Neutral,Shopee,"Kurang cocok di kulit saya, agak kering."
R100218,PC012,2021-05-27,1.1,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering."
R100219,PC014,2020-01-01,1.7,Negative,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100220,PC003,2020-06-03,1.0,Negative,Shopee,"Mudah dibeli saat promo, value for money."
R100221,PC001,2022-06-03,2.9,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100222,PC008,2021-08-20,2.6,Negative,Tokopedia,"Harumnya tahan lama, suka banget!"
R100223,PC015,2022-07-15,4.0,Positive,Tokopedia,"Harumnya tahan lama, suka banget!"
R100224,PC003,2022-10-25,2.2,Negative,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100225,PC002,2021-05-28,1.2,Negative,Shopee,Wangi terlalu kuat untuk saya.
R100226,PC014,2020-04-09,1.4,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100227,PC004,2021-04-25,4.8,Positive,Shopee,Wangi terlalu kuat untuk saya.
R100228,PC011,2023-07-18,4.9,Positive,Instagram,"Mudah dibeli saat promo, value for money."
R100229,PC008,2022-10-25,3.5,Neutral,Shopee,"Packaging bocor saat diterima, kurang aman."
R100230,PC004,2020-05-22,2.6,Negative,Shopee,"Packaging bocor saat diterima, kurang aman."
R100231,PC006,2023-08-30,3.1,Neutral,Tokopedia,"Harga sesuai, kualitas oke."
R100232,PC002,2022-04-24,1.1,Negative,Tokopedia,"Harga sesuai, kualitas oke."
R100233,PC008,2022-02-09,1.2,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100234,PC001,2023-02-14,3.4,Neutral,Shopee,Wangi terlalu kuat untuk saya.
R100235,PC011,2022-05-21,4.0,Positive,Tokopedia,"Harumnya tahan lama, suka banget!"
R100236,PC008,2025-05-28,2.9,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100237,PC013,2023-03-27,3.4,Neutral,Tokopedia,Wangi terlalu kuat untuk saya.
R100238,PC002,2022-10-03,2.6,Negative,Instagram,Kemasan baru lebih ramah lingkungan.
R100239,PC013,2025-05-09,4.8,Positive,Official Store,"Kurang cocok di kulit saya, agak kering."
R100240,PC009,2021-12-24,4.7,Positive,Instagram,"Harga sesuai, kualitas oke."
R100241,PC002,2022-06-17,2.5,Negative,Official Store,"Harga sesuai, kualitas oke."
R100242,PC005,2020-04-17,3.1,Neutral,Shopee,Kemasan baru lebih ramah lingkungan.
R100243,PC013,2025-05-21,5.0,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100244,PC013,2022-11-23,3.4,Neutral,Tokopedia,"Harga sesuai, kualitas oke."
R100245,PC008,2023-12-27,3.2,Neutral,Shopee,Wangi terlalu kuat untuk saya.
R100246,PC001,2025-04-16,4.2,Positive,Official Store,Kemasan baru lebih ramah lingkungan.
R100247,PC001,2020-12-12,1.6,Negative,Shopee,"Harga sesuai, kualitas oke."
R100248,PC013,2024-03-14,3.7,Neutral,Instagram,"Harga sesuai, kualitas oke."
R100249,PC006,2021-02-20,4.5,Positive,Shopee,"Kurang cocok di kulit saya, agak kering."
R100250,PC009,2020-03-05,4.3,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100251,PC011,2021-05-17,4.6,Positive,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100252,PC002,2025-01-04,3.0,Neutral,Instagram,"Kurang cocok di kulit saya, agak kering."
R100253,PC013,2023-09-19,4.9,Positive,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100254,PC015,2022-04-08,1.0,Negative,Shopee,"Harga sesuai, kualitas oke."
R100255,PC006,2021-09-15,1.1,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100256,PC002,2022-01-22,3.5,Neutral,Tokopedia,Wangi terlalu kuat untuk saya.
R100257,PC013,2024-10-01,1.7,Negative,Official Store,"Kurang cocok di kulit saya, agak kering."
R100258,PC004,2021-10-24,3.8,Neutral,Tokopedia,"Harumnya tahan lama, suka banget!"
R100259,PC010,2022-11-07,1.2,Negative,Official Store,"Harga sesuai, kualitas oke."
R100260,PC002,2025-04-01,4.9,Positive,Shopee,Kemasan baru lebih ramah lingkungan.
R100261,PC004,2023-11-25,3.4,Neutral,Official Store,"Packaging bocor saat diterima, kurang aman."
R100262,PC013,2020-02-18,2.3,Negative,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100263,PC003,2021-07-09,1.0,Negative,Tokopedia,"Mudah dibeli saat promo, value for money."
R100264,PC002,2026-01-02,2.7,Negative,Shopee,"Harumnya tahan lama, suka banget!"
R100265,PC007,2023-03-05,4.3,Positive,Instagram,Kemasan baru lebih ramah lingkungan.
R100266,PC002,2024-08-27,1.9,Negative,Instagram,"Harga sesuai, kualitas oke."
R100267,PC003,2025-09-22,1.6,Negative,Official Store,Wangi terlalu kuat untuk saya.
R100268,PC005,2025-06-23,4.4,Positive,Official Store,"Mudah dibeli saat promo, value for money."
R100269,PC003,2021-08-26,4.9,Positive,Shopee,"Kurang cocok di kulit saya, agak kering."
R100270,PC012,2024-05-12,4.0,Positive,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100271,PC001,2023-12-04,2.5,Negative,Instagram,Kemasan baru lebih ramah lingkungan.
R100272,PC011,2025-10-31,1.7,Negative,Shopee,Wangi terlalu kuat untuk saya.
R100273,PC005,2020-12-04,2.8,Negative,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100274,PC007,2023-10-09,1.5,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100275,PC012,2025-10-29,1.7,Negative,Instagram,"Harumnya tahan lama, suka banget!"
R100276,PC014,2020-09-15,1.5,Negative,Official Store,Kemasan baru lebih ramah lingkungan.
R100277,PC004,2023-05-13,1.9,Negative,Official Store,"Packaging bocor saat diterima, kurang aman."
R100278,PC006,2023-07-04,2.1,Negative,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100279,PC011,2025-12-05,1.6,Negative,Shopee,"Kurang cocok di kulit saya, agak kering."
R100280,PC014,2022-05-13,2.9,Negative,Instagram,"Mudah dibeli saat promo, value for money."
R100281,PC011,2024-03-08,4.4,Positive,Tokopedia,"Harumnya tahan lama, suka banget!"
R100282,PC008,2024-05-12,4.0,Positive,Shopee,"Harumnya tahan lama, suka banget!"
R100283,PC012,2025-12-10,1.6,Negative,Official Store,"Mudah dibeli saat promo, value for money."
R100284,PC006,2021-04-07,2.4,Negative,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100285,PC002,2021-12-19,3.1,Neutral,Shopee,"Harumnya tahan lama, suka banget!"
R100286,PC013,2020-06-30,4.3,Positive,Tokopedia,"Mudah dibeli saat promo, value for money."
